City,id,zip,lat,lon,cdd Jan,hdd Jan,cdd Feb,hdd Feb,cdd Mar,hdd Mar,cdd Apr,hdd Apr,cdd May,hdd May,cdd Jun,hdd Jun,cdd Jul,hdd Jul,cdd Aug,hdd Aug,cdd Sep,hdd Sep,cdd Oct,hdd Oct,cdd Nov,hdd Nov,cdd Dec,hdd Dec,zip,lat,lon,cdd Jan 2021,cdd Feb 2021,cdd Mar 2021,cdd Apr 2021,cdd May 2021,cdd Jun 2021,cdd Jul 2021,cdd Aug 2021,cdd Sep 2021,cdd Oct 2021,cdd Nov 2021,cdd Dec 2021,cdd Jan 2022,cdd Feb 2022,cdd Mar 2022,cdd Apr 2022,cdd May 2022,cdd Jun 2022,cdd Jul 2022,cdd Aug 2022,cdd Sep 2022,cdd Oct 2022,cdd Nov 2022,cdd Dec 2022,cdd Jan 2023,cdd Feb 2023,cdd Mar 2023,cdd Apr 2023,cdd May 2023,cdd Jun 2023,cdd Jul 2023,cdd Aug 2023,cdd Sep 2023,cdd Oct 2023,cdd Nov 2023,cdd Dec 2023,hdd Jan 2021,hdd Feb 2021,hdd Mar 2021,hdd Apr 2021,hdd May 2021,hdd Jun 2021,hdd Jul 2021,hdd Aug 2021,hdd Sep 2021,hdd Oct 2021,hdd Nov 2021,hdd Dec 2021,hdd Jan 2022,hdd Feb 2022,hdd Mar 2022,hdd Apr 2022,hdd May 2022,hdd Jun 2022,hdd Jul 2022,hdd Aug 2022,hdd Sep 2022,hdd Oct 2022,hdd Nov 2022,hdd Dec 2022,hdd Jan 2023,hdd Feb 2023,hdd Mar 2023,hdd Apr 2023,hdd May 2023,hdd Jun 2023,hdd Jul 2023,hdd Aug 2023,hdd Sep 2023,hdd Oct 2023,hdd Nov 2023,hdd Dec 2023
"LIHUE, HI",96,96766,21.97,-159.35,265,0,240,0,271,0,285,0,353,0,380,0,502,0,465,0,450,0,396,0,348,0,307,0,96766,21.97,-159.35,292,216,232,276,371,428,502,524,452,373,351,310,228,224,269,291,338,308,472,409,449,402,364,349,275,280,312,287,351,405,531,461,450,412,330,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BURLINGTON, IA",97,52601,40.8,-91.12,0,902,0,819,11,386,113,123,391,7,662,0,701,0,547,0,359,5,134,140,20,508,5,859,52601,40.8,-91.12,0,0,17,131,295,703,704,714,551,273,6,12,0,0,14,78,437,643,684,638,457,130,55,2,0,0,3,130,441,641,715,288,68,0,0,0,868,1077,312,98,15,0,0,0,0,36,396,597,1121,797,422,184,6,0,0,0,0,82,403,830,718,584,424,87,0,0,0,0,16,302,726,1149
"CEDAR RAPIDS, IA",98,52402,42.02,-91.66,0,1388,0,1271,0,852,7,522,71,183,233,12,280,1,229,14,75,71,10,391,0,825,0,1200,52402,42.02,-91.66,0,0,0,12,53,259,261,259,93,24,0,0,0,0,0,3,101,230,315,212,108,5,0,0,0,0,0,7,58,210,265,217,24,0,0,0,1338,1528,756,459,259,15,0,0,39,319,818,1037,1589,1251,898,648,189,7,0,41,116,451,819,1284,1236,1034,902,459,100,15,4,0,57,404,839,1280
"DES MOINES, IA",99,50311,41.6,-93.67,0,1281,0,1162,0,756,13,435,99,141,297,2,356,1,328,0,131,42,15,337,0,760,0,1142,50311,41.6,-93.67,0,0,0,21,67,335,360,359,190,32,0,0,0,0,0,1,127,290,376,347,156,13,0,0,0,0,0,16,104,267,333,279,46,0,0,0,1192,1395,619,382,192,1,0,0,22,275,692,932,1452,1140,802,533,160,0,0,0,65,364,782,1256,1198,952,848,391,70,4,2,0,38,372,806,1239
"DUBUQUE, IA",100,52001,42.5,-90.69,0,1382,0,1287,0,870,5,536,67,199,212,17,248,1,196,1,54,85,9,408,0,834,0,1212,52001,42.5,-90.69,0,0,0,6,53,251,229,233,70,24,0,0,0,0,0,4,106,201,294,196,85,3,0,0,0,0,0,5,42,185,221,160,7,0,0,0,1330,1511,779,469,266,12,0,0,42,313,824,1023,1590,1260,900,633,197,13,0,3,112,461,806,1299,1225,1091,932,506,133,26,2,0,100,450,873,1314
"MASON CITY, IA",101,50401,43.15,-93.19,0,1498,0,1386,0,941,5,602,55,220,206,20,199,7,158,1,33,115,6,462,0,925,0,1358,50401,43.15,-93.19,0,0,0,4,62,282,210,167,45,15,0,0,0,0,0,0,68,165,211,150,53,2,0,0,0,0,0,10,34,170,175,156,2,0,0,0,1357,1571,784,512,279,12,2,4,76,358,859,1183,1700,1382,960,730,244,28,0,0,149,528,954,1466,1436,1205,1080,565,136,19,18,0,121,501,961,1425
"OTTUMWA, IA",102,52501,41.01,-92.41,0,1273,0,1155,0,774,12,461,82,156,261,9,315,1,293,0,114,44,15,336,0,738,0,1098,52501,41.01,-92.41,0,0,0,25,64,271,310,290,153,31,0,0,0,0,0,6,119,295,378,300,132,14,0,0,0,0,0,5,62,217,256,289,58,0,0,0,1221,1406,635,421,229,8,0,0,23,256,701,905,1450,1116,793,542,149,4,0,0,79,409,749,1207,1149,942,895,419,91,14,4,0,31,344,765,1183
"SIOUX CITY, IA",103,51104,42.54,-96.4,0,1296,0,1233,0,849,11,501,78,175,251,12,305,3,273,0,85,62,6,404,0,848,0,1239,51104,42.54,-96.4,0,0,0,8,64,272,302,300,111,9,0,0,0,0,0,5,81,244,345,290,124,8,0,0,0,0,0,20,89,237,267,229,19,0,0,0,1190,1476,695,472,240,3,1,0,47,348,734,1024,1346,1127,865,558,196,10,0,0,67,430,908,1374,1351,1097,986,473,90,24,9,0,71,433,901,1318
"SPENCER, IA",104,51301,43.14,-95.15,0,1097,0,1056,1,608,49,255,263,42,564,2,606,0,456,0,275,37,74,265,3,717,0,1140,51301,43.14,-95.15,0,0,4,49,206,592,610,605,411,124,0,0,0,0,0,36,254,557,654,595,404,98,9,0,0,0,0,63,330,543,555,167,9,0,0,0,991,1296,457,229,63,0,0,0,0,121,498,825,1147,951,623,305,50,0,0,0,0,178,681,1175,1152,921,744,232,12,7,0,0,110,496,971,1419
"WATERLOO, IA",105,50702,42.46,-92.31,0,1397,0,1285,0,849,13,503,83,169,259,8,291,1,246,0,76,72,13,402,0,832,0,1239,50702,42.46,-92.31,0,0,0,17,76,322,326,284,101,35,0,0,0,0,0,3,100,213,283,253,111,5,0,0,0,0,0,18,72,241,265,201,16,0,0,0,1336,1526,743,439,235,6,0,0,33,304,767,1040,1615,1262,875,612,184,8,0,0,99,446,834,1332,1240,1066,928,459,87,10,4,0,84,455,895,1344
"BOISE, ID",106,83704,43.63,-116.28,0,985,0,849,0,669,4,467,43,188,216,36,545,0,371,0,119,40,6,313,0,758,0,1033,83704,43.63,-116.28,0,0,0,3,30,357,593,299,112,7,0,0,0,0,0,0,14,140,532,532,206,11,0,0,0,0,0,9,86,151,511,281,38,0,0,0,877,827,619,392,187,13,0,0,59,314,611,947,1112,891,594,543,297,65,0,0,13,257,918,1100,966,829,794,465,81,30,0,0,48,369,746,1051
"BURLEY, ID",107,83318,42.39,-113.78,0,1125,0,984,0,811,2,592,2,301,116,84,339,0,202,10,39,111,0,441,0,829,0,1082,83318,42.39,-113.78,0,0,0,5,0,222,356,137,38,0,0,0,0,0,0,0,2,113,406,290,74,0,0,0,0,0,0,0,3,14,255,180,5,0,0,0,986,847,733,516,281,21,0,30,136,434,649,950,1235,1089,724,664,424,118,0,0,77,440,1014,1183,1155,1015,975,596,199,114,1,0,119,450,823,1112
"IDAHO FALLS, ID",108,83404,43.42,-112.0,0,1427,0,1314,0,1027,0,691,1,343,68,89,265,1,130,20,28,172,0,543,0,983,0,1297,83404,43.42,-112.0,0,0,0,0,0,100,240,89,17,0,0,0,0,0,0,0,2,98,347,225,67,0,0,0,0,0,0,0,1,6,209,76,0,0,0,0,1339,1192,945,645,369,30,0,54,183,529,815,1104,1475,1343,899,726,440,132,0,0,105,501,1143,1426,1468,1407,1236,703,220,106,2,5,227,600,991,1362
"LEWISTON, ID",109,83501,46.16,-116.92,0,873,0,769,0,593,4,423,55,160,221,30,476,0,372,0,93,37,4,322,0,711,0,965,83501,46.16,-116.92,0,0,0,2,40,359,541,360,104,0,0,0,0,0,0,0,5,88,432,487,143,12,0,0,0,0,0,11,119,215,454,268,33,0,0,0,795,833,578,332,141,24,0,1,38,324,557,920,935,753,525,525,275,45,0,0,11,233,848,1014,890,720,675,412,64,22,0,0,63,410,728,961
"POCATELLO, ID",110,83201,42.9,-112.39,0,1236,0,1128,0,896,0,650,2,327,81,90,283,1,166,13,37,139,0,509,0,914,0,1176,83201,42.9,-112.39,0,0,0,0,0,182,322,133,35,0,0,0,0,0,0,0,4,55,289,254,76,0,0,0,0,0,0,0,2,5,239,111,0,0,0,0,1110,969,833,597,321,29,0,38,151,503,750,1037,1349,1202,793,697,444,121,0,0,85,493,1087,1269,1250,1213,1063,657,216,121,2,0,182,532,906,1223
"CHICAGO, IL",111,60611,41.9,-87.61,0,1165,0,1058,0,732,15,453,96,180,237,12,312,0,299,0,118,50,24,322,2,716,0,1035,60611,41.9,-87.61,0,0,0,18,83,289,297,382,178,59,0,0,0,0,0,3,139,220,302,295,153,14,5,0,0,0,0,23,65,203,337,221,24,0,0,0,1108,1253,639,403,222,3,1,0,17,220,737,831,1376,1051,749,537,174,8,0,0,78,351,647,1109,1010,869,807,418,143,26,0,0,55,394,763,1165
"MOLINE, IL",112,61265,41.48,-90.48,0,1235,0,1107,0,724,13,421,108,134,280,3,333,0,291,0,117,45,20,330,1,719,1,1069,61265,41.48,-90.48,0,0,0,20,81,323,332,344,165,47,0,2,0,0,0,9,150,258,312,269,141,13,3,0,0,0,0,9,93,260,354,259,45,0,0,0,1201,1365,644,385,211,5,0,0,14,234,711,886,1454,1085,757,513,129,0,0,1,84,389,672,1128,1051,872,770,364,62,4,0,0,36,366,774,1194
"PEORIA, IL",113,61606,40.7,-89.61,0,1164,0,1058,0,674,12,392,105,125,293,3,344,0,317,0,141,38,24,300,1,702,0,1004,61606,40.7,-89.61,0,0,0,12,82,312,329,365,206,60,0,0,0,0,0,12,149,291,343,328,169,13,4,0,0,0,0,11,83,275,361,259,48,0,0,0,1130,1274,594,370,195,5,0,0,14,199,709,785,1375,1088,695,474,119,1,0,0,71,345,654,1082,987,812,732,331,62,2,0,0,30,355,743,1145
"QUINCY, IL",114,62301,39.93,-91.38,0,830,1,730,16,334,98,124,318,16,597,0,684,0,536,0,319,6,116,146,17,503,2,765,62301,39.93,-91.38,0,0,17,100,253,611,642,683,493,233,2,5,0,0,21,89,344,620,715,638,397,114,49,0,0,2,9,104,356,559,696,287,68,0,0,0,819,964,242,132,36,0,0,0,0,47,393,434,992,733,335,144,9,0,0,0,3,87,420,772,679,492,424,96,3,0,0,0,16,303,695,1089
"ROCKFORD, IL",115,61104,42.25,-89.08,0,1260,0,1159,0,783,9,481,85,176,231,14,272,0,245,1,86,68,19,375,0,784,0,1125,61104,42.25,-89.08,0,0,0,13,84,325,310,317,140,50,0,0,0,0,0,5,131,204,265,230,101,6,0,0,0,0,0,9,39,163,242,188,16,0,0,0,1186,1379,684,393,213,5,0,0,18,265,786,924,1496,1120,791,570,173,16,0,2,112,430,740,1204,1098,978,875,481,141,21,0,0,75,430,825,1246
"SPRINGFIELD, IL",116,62704,39.77,-89.68,0,1093,0,994,0,630,17,367,116,115,282,2,329,1,317,0,130,37,21,285,2,676,0,938,62704,39.77,-89.68,0,0,0,18,100,327,320,359,173,52,0,0,0,0,0,17,164,285,327,303,138,11,6,0,0,0,0,16,83,234,339,289,79,0,0,0,1082,1220,544,353,171,3,2,0,21,196,699,710,1274,991,643,428,111,0,0,0,76,369,653,1037,922,770,703,320,62,3,0,0,13,289,677,1068
"EVANSVILLE, IN",117,47714,37.96,-87.52,0,909,0,784,0,498,30,276,129,74,321,1,438,0,394,0,184,23,41,210,0,599,0,786,47714,37.96,-87.52,0,0,0,28,96,339,399,431,214,105,0,0,0,0,0,38,174,346,451,387,207,17,0,0,0,0,0,25,117,279,463,363,131,0,0,0,898,968,407,264,136,0,0,0,21,143,664,575,1090,826,522,313,38,0,0,0,45,253,564,879,738,559,565,250,49,2,0,0,2,235,570,904
"FORT WAYNE, IN",118,46807,41.04,-85.15,0,1132,0,1028,0,729,10,462,76,183,203,15,261,0,232,1,79,64,17,335,0,720,0,1004,46807,41.04,-85.15,0,0,0,3,72,249,259,289,119,50,0,0,0,0,0,8,108,210,248,208,88,0,0,0,0,0,0,20,49,151,277,199,29,0,0,0,1080,1218,664,446,253,7,0,0,45,227,764,829,1367,1046,719,535,122,13,0,2,98,393,668,1074,948,819,805,405,174,26,0,0,49,384,729,1108
"INDIANAPOLIS, IN",119,46201,39.77,-86.11,0,1044,0,914,0,627,16,380,92,128,255,5,346,0,327,0,137,40,21,276,0,671,0,907,46201,39.77,-86.11,0,0,0,15,76,278,312,396,183,60,0,0,0,0,0,14,119,281,376,316,164,3,0,0,0,0,0,20,80,207,351,270,63,0,0,0,1051,1092,565,366,205,2,0,0,30,185,735,711,1220,957,612,423,80,0,0,0,70,324,620,985,861,694,705,350,99,14,0,0,20,319,658,1024
"SOUTH BEND, IN",120,46615,41.67,-86.21,0,1142,0,1043,0,761,10,497,79,198,195,23,261,0,260,0,98,65,21,343,1,719,0,1018,46615,41.67,-86.21,0,0,0,11,82,252,265,327,151,56,0,0,0,0,0,4,108,184,273,257,122,6,2,0,0,0,0,15,47,150,245,196,21,0,0,0,1115,1204,679,466,276,10,0,0,27,250,748,858,1355,1067,767,577,157,20,0,0,105,382,669,1071,955,858,838,447,162,40,0,0,62,396,741,1124
"WEST LAFAYETTE, IN",121,47906,40.44,-86.91,0,1081,0,982,0,653,18,394,98,130,262,8,309,0,293,0,122,48,20,301,0,708,0,959,47906,40.44,-86.91,0,0,0,37,124,372,261,329,175,52,0,0,0,0,0,11,112,241,382,285,123,8,1,0,0,0,0,7,59,174,283,265,69,0,0,0,1028,1123,510,300,163,0,0,0,30,220,770,777,1289,1037,685,479,114,0,0,0,94,368,683,1046,926,787,764,403,113,23,0,0,20,315,672,1055
"CHANUTE, KS",122,66720,37.67,-95.48,0,869,0,849,2,490,31,249,147,80,406,0,546,0,503,0,280,4,44,164,3,552,1,776,66720,37.67,-95.48,0,0,0,27,84,393,483,531,334,69,0,2,0,0,2,37,181,450,640,568,358,62,9,0,0,0,3,28,175,376,515,411,148,0,0,0,860,1077,392,250,115,0,0,0,4,116,469,511,943,826,521,245,72,0,0,0,8,179,594,882,805,643,558,252,54,0,0,0,0,197,594,936
"CONCORDIA, KS",123,66901,39.57,-97.66,0,1028,0,963,0,619,25,331,131,109,368,1,443,0,435,0,212,12,30,233,4,645,0,974,66901,39.57,-97.66,0,0,0,25,68,380,436,464,255,54,0,0,0,0,0,28,173,391,423,458,279,37,11,0,0,0,0,22,153,333,471,382,103,0,0,0,965,1189,499,362,146,0,0,0,6,195,508,774,1095,908,645,335,135,2,0,0,23,230,705,1074,1024,791,713,296,45,1,0,0,8,275,723,1073
"DODGE CITY, KS",124,67801,37.75,-100.01,0,986,0,925,0,628,23,338,110,114,345,6,486,1,462,0,239,12,20,221,1,637,0,901,67801,37.75,-100.01,0,0,1,19,56,413,459,471,308,31,0,0,0,0,0,27,165,403,564,495,272,28,3,0,0,0,0,23,110,220,434,419,136,0,0,0,927,1095,542,384,138,2,0,0,8,205,535,731,1046,907,657,311,155,16,2,0,26,220,701,987,984,772,684,319,49,1,0,0,2,239,675,985
"GARDEN CITY, KS",125,67846,37.97,-100.86,0,1044,0,979,0,683,14,386,84,130,290,11,442,0,405,0,198,19,13,264,1,682,0,957,67846,37.97,-100.86,0,0,0,5,45,308,391,426,251,20,0,0,0,0,0,21,137,389,564,410,233,18,3,0,0,0,0,17,70,172,370,378,111,0,0,0,975,1140,606,446,160,4,0,0,18,237,556,789,1073,950,699,340,168,18,0,0,33,271,774,1056,1085,847,745,371,62,12,0,0,6,283,717,1027
"GOODLAND, KS",126,67735,39.34,-101.7,0,1076,0,1039,0,797,9,488,55,177,219,17,350,1,335,0,146,44,6,321,2,652,0,886,67735,39.34,-101.7,0,0,0,5,78,252,333,380,217,2,0,0,0,0,0,5,64,274,409,359,190,16,5,0,0,0,0,17,24,130,308,265,31,0,0,0,1056,1182,695,517,204,9,0,0,25,338,579,872,1088,1004,811,475,211,26,1,0,53,221,552,694,1085,931,884,472,116,17,2,0,55,405,824,1092
"RUSSELL, KS",127,67665,38.88,-98.85,0,1041,0,967,0,638,25,354,105,118,331,4,462,0,460,0,214,16,18,250,3,671,0,983,67665,38.88,-98.85,0,0,1,20,51,356,457,490,253,19,0,0,0,0,0,32,141,349,472,492,277,34,9,0,0,0,0,22,123,288,458,398,112,0,0,0,971,1158,494,406,153,4,0,0,17,219,542,818,1099,917,690,327,150,8,0,0,27,260,760,1090,1052,826,731,328,51,0,0,0,4,271,710,1041
"SALINA, KS",128,67401,38.81,-97.61,0,983,0,931,0,597,27,316,140,103,393,2,510,0,493,0,240,8,24,209,4,624,0,930,67401,38.81,-97.61,0,0,0,19,66,416,464,510,287,37,0,0,0,0,0,35,193,420,582,510,272,35,11,0,0,0,0,28,162,342,483,458,161,0,0,0,930,1104,467,344,132,2,0,0,8,179,526,732,1030,910,641,313,120,5,0,0,17,232,693,1055,990,778,682,292,57,0,0,0,0,217,654,1003
"TOPEKA, KS",129,66604,39.03,-95.69,0,981,0,937,0,572,25,297,142,92,384,1,462,0,423,0,199,11,29,224,3,618,0,903,66604,39.03,-95.69,0,0,0,20,72,387,426,445,263,41,0,0,0,0,1,31,185,394,484,452,227,46,8,0,0,0,0,24,169,371,476,371,106,0,0,0,929,1167,467,325,128,0,0,0,9,184,534,671,1070,903,613,317,96,4,0,0,18,236,655,1004,945,740,635,249,52,0,0,0,7,253,666,1033
"WICHITA, KS",130,67218,37.67,-97.28,0,929,0,907,1,523,29,274,136,86,372,2,503,0,511,0,274,3,34,168,3,591,0,858,67218,37.67,-97.28,0,0,0,19,56,374,445,521,326,47,0,0,0,0,1,40,195,400,573,551,311,53,9,0,0,0,1,27,157,341,491,462,184,1,0,0,903,1090,437,308,101,2,0,0,2,139,507,636,1009,898,562,256,108,5,0,0,8,171,644,977,875,733,570,259,50,0,0,0,0,195,621,962
"BOWLING GREEN, KY",131,42104,36.97,-86.44,1,788,2,655,6,418,29,250,149,57,358,0,558,0,424,0,183,15,38,185,3,523,5,652,42104,36.97,-86.44,0,0,1,20,101,368,442,472,188,104,0,14,2,0,11,41,197,418,573,434,218,11,10,0,0,5,6,27,150,288,658,366,143,0,0,0,809,840,373,256,108,0,0,0,17,119,575,377,937,678,417,270,19,0,0,0,27,221,472,755,617,447,464,224,44,0,0,0,1,215,523,825
"JACKSON, KY",132,41339,37.55,-83.37,5,620,13,473,55,217,150,77,336,7,531,0,644,0,514,0,315,3,132,106,28,385,10,544,41339,37.55,-83.37,0,4,46,113,234,515,572,618,407,247,10,16,3,0,67,162,440,601,692,640,435,150,73,13,12,34,52,176,335,477,669,285,102,0,0,0,655,674,202,109,20,0,0,0,0,28,365,281,818,478,219,95,0,0,0,0,3,59,275,524,388,267,230,26,2,0,0,0,6,231,516,827
"LEXINGTON, KY",133,40517,37.98,-84.49,0,923,0,747,1,518,23,320,98,100,255,4,375,0,329,0,134,30,21,232,2,586,0,761,40517,37.98,-84.49,0,0,0,10,72,243,299,329,130,51,0,0,0,0,0,34,143,321,419,351,173,12,5,0,0,0,3,25,78,202,406,306,98,0,0,0,963,957,511,384,189,8,0,0,33,179,670,574,1123,765,507,322,34,0,0,0,51,268,522,820,684,520,536,253,76,5,0,0,5,250,567,888
"LOUISVILLE, KY",134,40203,38.25,-85.77,0,851,1,693,1,431,35,246,153,53,357,0,480,0,437,0,221,15,43,176,1,522,0,702,40203,38.25,-85.77,0,0,2,33,135,388,459,496,261,112,0,0,0,0,2,35,204,396,501,438,242,17,4,0,0,2,0,37,119,286,481,377,159,0,0,0,880,878,387,243,102,0,0,0,13,112,569,468,1007,710,414,279,18,0,0,0,32,214,480,796,665,491,492,215,38,0,0,0,0,201,518,841
"PADUCAH, KY",135,42003,37.01,-88.58,0,830,1,726,3,422,35,233,159,51,360,0,462,0,400,0,198,12,51,183,4,553,0,702,42003,37.01,-88.58,0,0,1,28,118,381,435,434,229,125,0,0,0,0,3,48,197,371,498,415,231,27,11,0,0,4,5,30,162,328,453,352,133,0,0,0,824,942,365,237,99,1,0,0,7,118,585,439,999,743,429,261,22,0,0,0,29,217,536,804,668,494,472,201,32,0,0,0,0,213,537,864
"BATON ROUGE, LA",136,70802,30.44,-91.18,90,149,151,104,300,19,430,0,674,0,814,0,846,0,732,0,576,0,370,3,122,85,153,188,70802,30.44,-91.18,71,109,317,402,629,788,858,876,654,583,133,274,41,113,226,450,720,816,784,799,690,419,233,185,157,232,357,439,674,839,896,520,383,107,0,0,149,171,10,0,0,0,0,0,0,0,15,33,238,100,26,0,0,0,0,0,0,6,65,147,61,40,21,0,0,0,0,0,0,4,176,383
"LAFAYETTE, LA",137,70503,30.21,-92.02,30,338,52,309,101,125,148,29,389,0,575,0,636,0,558,0,413,0,204,17,35,161,78,251,70503,30.21,-92.02,9,32,96,124,299,493,572,593,410,304,16,141,30,25,34,167,453,606,660,549,428,169,88,94,50,99,173,154,414,626,675,533,402,139,0,0,376,429,119,61,0,0,0,0,0,10,170,116,437,309,159,19,0,0,0,0,0,41,190,307,202,189,96,8,0,0,0,0,0,0,123,330
"LAKE CHARLES, LA",138,70601,30.21,-93.2,15,366,39,322,88,133,143,29,349,0,520,0,598,0,551,0,408,0,191,21,26,186,54,269,70601,30.21,-93.2,4,36,107,170,314,518,562,587,405,294,12,109,14,16,28,158,405,542,584,521,413,136,67,52,27,66,130,100,328,500,648,544,407,143,0,0,389,399,106,39,0,0,0,0,0,14,191,114,446,350,184,20,0,0,0,0,0,50,228,338,264,218,108,28,0,0,0,0,0,0,138,356
"MONROE, LA",139,71201,32.53,-92.11,10,497,22,441,59,191,80,70,303,0,514,0,613,0,569,0,374,0,132,43,17,296,42,389,71201,32.53,-92.11,2,15,71,68,213,489,563,589,366,216,11,84,8,7,27,106,382,543,651,567,395,106,40,43,21,44,80,65,315,511,626,550,361,74,0,0,528,588,179,93,0,0,0,0,0,37,327,216,599,470,235,60,0,0,0,0,1,66,299,443,363,264,160,58,0,0,0,0,0,26,262,507
"NEW ORLEANS, LA",140,70116,29.97,-90.06,32,296,61,234,123,91,189,13,426,0,584,0,631,0,577,0,444,0,230,13,41,125,65,215,70116,29.97,-90.06,17,37,132,174,381,547,623,632,438,340,27,120,20,40,61,205,472,607,601,555,474,193,95,74,58,107,176,189,426,598,670,543,419,158,0,0,307,319,74,26,0,0,0,0,0,8,130,91,408,247,110,9,0,0,0,0,0,31,148,256,174,135,89,4,0,0,0,0,0,0,97,299
"SHREVEPORT, LA",141,71104,32.48,-93.73,8,466,20,427,57,181,99,63,328,1,545,0,642,0,600,0,403,0,160,40,23,273,54,368,71104,32.48,-93.73,0,11,58,91,250,512,576,615,421,254,16,114,0,7,41,143,408,584,704,622,414,142,52,49,25,41,71,63,327,540,646,564,374,84,0,0,495,569,169,87,2,0,0,0,0,31,261,169,534,456,226,37,0,0,0,0,0,65,295,424,368,255,147,65,0,0,0,0,0,23,262,511
"BOSTON, MA",142,02113,42.37,-71.06,0,1016,0,896,0,734,2,431,49,180,173,38,316,3,323,0,85,39,5,252,3,567,0,866,02113,42.37,-71.06,0,0,0,0,60,287,243,372,153,13,0,0,0,0,0,0,52,128,377,367,68,1,9,0,0,0,0,5,34,103,329,231,34,0,0,0,1047,959,712,424,168,3,9,0,15,168,611,800,1163,890,738,441,186,37,0,0,61,259,488,860,839,839,753,428,185,75,0,0,41,329,602,937
"CHATHAM, MA",143,02650,41.7,-69.95,0,741,0,700,0,567,8,300,92,108,235,20,402,1,358,0,175,25,55,161,16,435,0,672,02650,41.7,-69.95,0,0,1,7,106,365,327,489,322,121,1,0,0,0,0,0,99,189,467,484,198,45,48,0,0,0,0,18,71,152,411,100,5,0,0,0,772,763,545,293,99,0,3,0,0,52,396,534,888,694,570,303,118,17,0,0,7,79,311,594,564,643,585,303,107,43,0,0,68,353,598,888
"WORCESTER, MA",144,01610,42.25,-71.81,0,895,0,778,0,603,10,251,130,63,311,5,501,0,387,0,154,51,44,220,9,555,0,862,01610,42.25,-71.81,0,0,0,3,131,428,435,508,276,92,0,0,0,0,0,1,181,318,563,547,185,39,28,0,0,0,0,25,77,186,506,107,0,0,0,0,907,812,602,253,55,0,0,0,1,53,491,675,1041,771,574,251,47,0,0,0,9,130,416,798,736,751,633,249,86,15,0,0,142,477,757,1114
"BALTIMORE, MD",145,21231,39.29,-76.59,0,842,0,693,2,537,29,267,86,102,267,1,474,0,403,0,163,13,26,216,5,543,0,776,21231,39.29,-76.59,0,0,5,26,96,332,476,461,203,76,0,0,0,0,0,11,129,257,459,443,197,1,15,0,0,0,1,49,34,212,487,306,89,0,0,0,872,812,514,279,125,1,0,0,7,78,589,610,1004,699,533,324,77,0,0,0,24,282,465,848,650,569,563,198,104,1,0,0,9,288,575,871
"SALISBURY, MD",146,21801,38.38,-75.64,3,531,4,402,34,231,143,61,294,9,544,0,733,0,583,0,358,0,132,90,38,320,1,527,21801,38.38,-75.64,0,0,43,131,289,578,725,714,479,302,14,4,3,4,41,99,344,556,732,703,463,93,99,0,5,9,17,200,248,497,742,331,131,0,0,0,555,525,217,71,10,0,0,0,0,0,266,291,680,398,229,85,13,0,0,0,0,48,207,520,357,282,248,26,3,0,0,0,1,223,487,771
"AUGUSTA, ME",147,04330,44.33,-69.72,0,1247,0,1119,0,933,0,550,22,251,106,76,228,15,193,3,26,118,0,403,0,740,0,1102,04330,44.33,-69.72,0,0,0,0,14,156,87,224,37,1,0,0,0,0,0,0,34,98,331,236,41,0,1,0,0,0,0,1,17,64,265,120,0,0,0,0,1226,1144,977,555,281,42,46,7,65,325,751,1061,1414,1104,917,562,213,76,0,1,140,388,669,1031,1101,1109,906,533,259,109,0,0,148,497,801,1214
"BANGOR, ME",148,04401,44.83,-68.78,0,1025,0,903,0,699,8,294,130,53,322,6,465,0,381,1,150,66,31,267,9,616,0,970,04401,44.83,-68.78,0,0,0,4,109,423,345,516,255,58,0,0,0,0,0,0,164,265,492,534,194,36,26,0,0,0,0,20,118,277,558,93,0,0,0,0,984,928,743,295,69,0,0,0,3,114,537,854,1232,888,683,298,36,4,0,0,13,156,480,803,859,892,672,288,53,13,0,2,181,532,831,1252
"CARIBOU, ME",149,04736,46.86,-67.99,0,1547,0,1418,0,1182,0,722,15,392,48,137,127,37,88,42,6,263,0,540,0,959,0,1353,04736,46.86,-67.99,0,0,0,0,23,80,55,177,7,0,0,0,0,0,0,0,14,9,114,80,11,0,0,0,0,0,0,0,9,55,211,7,0,0,0,0,1404,1358,1184,653,406,80,77,36,204,464,926,1360,1814,1417,1224,785,350,160,32,39,259,472,923,1199,1424,1479,1139,727,419,171,1,52,327,684,1029,1501
"HOULTON, ME",150,04730,46.11,-67.83,0,1483,0,1363,0,1127,0,709,10,421,58,141,146,43,92,42,6,261,1,542,0,923,0,1309,04730,46.11,-67.83,0,0,0,0,13,93,34,168,10,0,0,0,0,0,0,0,10,38,202,92,8,2,1,0,0,0,0,0,8,43,202,17,0,0,0,0,1384,1333,1142,680,458,86,98,36,208,470,915,1302,1718,1340,1139,747,361,154,29,43,250,476,854,1163,1346,1417,1099,701,444,184,3,46,324,679,999,1461
